link,caption
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_119.jpg,a statue of a man sitting on top of a bench 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_132.jpg,a statue of a man standing next to a clock 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_13.jpg,a statue of a man standing next to a clock 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_124.jpg,a large building with a clock on top of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_125.jpg,a group of people walking down a street 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_122.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_142.jpg,a building with a clock on the front of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_12.jpg,a tall clock tower with trees in the background
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_133.jpg,a statue of a man in a suit and tie 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_128.jpg,a tall clock tower with trees in the background
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_131.jpg,a statue of a man standing next to a clock 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_140.jpg,a tall clock tower with a sky background
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_129.jpg,a large clock tower towering over a city 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_135.jpg,a large clock tower sitting in the middle of a river 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_15.jpg,a building with a clock on the front of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_137.jpg,a large building with a clock on the top 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_147.jpg,a large clock tower towering over a city 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_151.jpg,a tall clock tower with a sky background
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_139.jpg,a clock tower in the middle of a park 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_143.jpg,a group of people sitting on top of a lush green field 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_134.jpg,a group of boats floating on top of a lake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_154.jpg,a train traveling down tracks next to a tall building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_153.jpg,a large white clock tower towering over a city 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_155.jpg,a couple of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_152.jpg,a group of people walking down a street 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_130.jpg,a train traveling down tracks next to a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_145.jpg,a large clock tower with a massive clock on it 's face 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_164.jpg,a statue of a man standing next to a clock tower 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_148.jpg,a large building with a clock on top of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_141.jpg,a building with a clock on the front of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_156.jpg,a large building with a clock on top of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_158.jpg,a fire hydrant in front of a brick building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_157.jpg,a clock tower in the middle of a park 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_136.jpg,a large building with a clock on the side of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_138.jpg,a clock tower in the middle of a field 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_14.jpg,a large building with a clock on top of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_162.jpg,a clock tower in the middle of a park 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_161.jpg,a statue of a man standing next to a clock 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_144.jpg,a large building with a clock on top of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_149.jpg,a group of people standing outside of a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_146.jpg,a large body of water next to a bridge 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_160.jpg,a building with a clock on the top of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_163.jpg,a brick building with a clock on the side of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_159.jpg,a boat traveling down a river next to a forest 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_166.jpg,a white house with a red brick building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_165.jpg,a large building with a clock on top of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_170.jpg,a building with a clock on the front of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_18.jpg,a bridge over a body of water near a bridge 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_16.jpg,a building with a clock on the side of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_172.jpg,a clock on a building with a sky background
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_171.jpg,a river with a clock tower in the background
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_169.jpg,a boat in the water with a building in the background 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_174.jpg,a clock tower with a weather vane on top 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_173.jpg,a train traveling down tracks next to a tall building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_150.jpg,a building with a clock on the front of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_168.jpg,a building with a clock on the side of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_183.jpg,a street sign with a building in the background
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_17.jpg,a tall clock tower with a sky background
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_167.jpg,a statue of a man sitting on top of a bench 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_177.jpg,a view of a bridge with a clock tower in the background 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_176.jpg,a building with a clock on the front of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_186.jpg,a building with a clock on the front of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_181.jpg,a train traveling down tracks next to a forest 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_188.jpg,a tall building with a clock on top of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_191.jpg,a large building with a clock on it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_182.jpg,a building with a clock on the side of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_192.jpg,a red and white fire hydrant sitting on the side of a road 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_179.jpg,a group of people standing outside of a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_195.jpg,a bunch of flowers that are in a room 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_180.jpg,a large body of water next to a bridge 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_193.jpg,a building with a clock on the front of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_198.jpg,a clock on a building with a sky background
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_187.jpg,a clock tower in the middle of a city 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_175.jpg,a river with a clock tower in the background
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_185.jpg,a bunch of birds that are sitting on a tree 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_199.jpg,a large building with a clock on the side of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_20.jpg,a large body of water next to a bridge 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_190.jpg,a large clock tower towering over a city 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_19.jpg,a river with a clock tower in the background
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_184.jpg,a large body of water with a clock tower 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_2.jpg,a vase of flowers sitting on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_189.jpg,a tall clock tower with a sky background
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_197.jpg,a statue of a man sitting on top of a bench 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_204.jpg,a clock tower with a weather vane on top 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_200.jpg,a row of park benches sitting next to a forest 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_217.jpg,a train traveling down tracks next to a forest 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_215.jpg,a group of people standing on a sidewalk near a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_194.jpg,a picture of a building with a clock tower 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_209.jpg,a large building with a clock on the side of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_201.jpg,a large building with a clock on top of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_208.jpg,a stone building with a clock on top of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_207.jpg,a building with a clock on the front of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_196.jpg,a blue and white bird perched on top of a tree 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_202.jpg,a stone building with a clock on top of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_222.jpg,a large building with a clock tower on top 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_178.jpg,a building with a clock on the front of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_213.jpg,a building with a clock on the front of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_206.jpg,a building with a clock on the front of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_216.jpg,a large body of water next to a bridge 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_218.jpg,a city street filled with lots of traffic 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_205.jpg,a large building with a clock on the side of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_219.jpg,a large building with a clock on top of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_203.jpg,a large building with a clock on the side of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_211.jpg,a row of park benches sitting next to a forest 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_21.jpg,a train traveling down tracks next to a tall building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_228.jpg,a statue of a man sitting on top of a bench 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_227.jpg,a building with a clock on the front of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_221.jpg,a group of people standing around each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_224.jpg,a train traveling down tracks next to a forest 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_214.jpg,a man standing in front of a building next to a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_223.jpg,a building with a clock on the front of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_22.jpg,a view of a bridge with a clock tower in the background 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_226.jpg,a fire hydrant in the middle of a city 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_210.jpg,a sign that is on the side of a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_229.jpg,a building with a clock on the front of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_220.jpg,a large building with a clock tower on top of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_235.jpg,a large clock tower with a massive clock on it 's face 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_212.jpg,a group of people standing next to a fire hydrant 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_23.jpg,a large stone building with a clock on it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_234.jpg,a barn that has a bunch of animals in it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_230.jpg,a room filled with lots of wooden furniture 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_240.jpg,a large clock tower with a clock on top of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_225.jpg,a building with a clock on the front of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_233.jpg,a large clock tower towering over a city 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_237.jpg,a large clock tower towering over a city 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_231.jpg,a building with a clock on the front of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_239.jpg,a large building with a clock on top of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_232.jpg,a woman is holding a cell phone to her ear 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_24.jpg,a man standing in front of a building next to a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_250.jpg,a statue of a man standing next to a clock 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_242.jpg,a group of people walking down a street 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_244.jpg,a tall clock tower with trees in the background
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_241.jpg,a bridge over a body of water near a bridge 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_238.jpg,a large building with a clock on the side of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_25.jpg,a tall clock tower with a sky background
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_245.jpg,a large clock tower towering over a city 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_246.jpg,a tall clock tower with a sky background
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_248.jpg,a parking meter sitting on the side of a road 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_253.jpg,a large clock tower with a clock on top of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_255.jpg,a fire hydrant in front of a brick building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_236.jpg,a tall clock tower with a sky background
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_249.jpg,a train traveling down tracks next to a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_257.jpg,a group of people sitting on a bench in front of a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_243.jpg,a bunch of different colored scissors on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_251.jpg,a large clock tower with a massive clock on it 's face 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_259.jpg,a vase of flowers sitting on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_256.jpg,a large building with a clock on the side of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_247.jpg,a bunch of airplanes that are in the air 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_254.jpg,a group of people sitting on top of a lush green field 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_252.jpg,a building with a clock on the front of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_260.jpg,a clock tower in the middle of a city 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_261.jpg,a large body of water next to a bridge 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_26.jpg,a fire hydrant in front of a brick building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_263.jpg,a couple of men standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_265.jpg,a large building with a clock on top of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_264.jpg,a river with a clock tower in the background
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_262.jpg,a large clock tower towering over a city 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_271.jpg,a group of people walking down a street 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_266.jpg,a large clock tower sitting in the middle of a river 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_27.jpg,a building with a clock on the front of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_276.jpg,a building with a clock on the front of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_28.jpg,a building with a clock on the front of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_267.jpg,a tall clock tower with a sky background
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_282.jpg,a clock on a building with a sky background
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_274.jpg,a group of birds sitting on top of a wooden fence 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_275.jpg,a boat traveling down a river next to a forest 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_268.jpg,a group of people standing outside of a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_258.jpg,a large stone building with a clock on it 
